url,brand,name,sizes,image_article,status
https://www.fjellsport.no/merker/the-north-face/the-north-face-all-mountain-purpose-30-tnf-black-tnf-red-FS524697,the-north-face,The North Face All Mountain Purpose 30 TNF Black/TNF Red | Fjellsport.no,LXL,88sy-kx9,ok
https://www.fjellsport.no/merker/the-north-face/the-north-face-all-mountain-purpose-38-tnf-black-tnf-red-FS524698,the-north-face,The North Face All Mountain Purpose 38 Tnf Black/Tnf Red | Fjellsport.no,LXL,allmountain-purpose-38-backpack,ok
https://www.fjellsport.no/merker/the-north-face/the-north-face-w-diablo-down-jacket-tnf-black-heather-tnf-blk-525110,the-north-face,The North Face Women&#x27;s Diablo Down 2.0 Jacket TNF Black Heather/TNF Black | Fjellsport.no,S;M;L;XL,b9399cb8-bed0-4ea0-abde-825614cf5be6-wjqsde,ok
https://www.fjellsport.no/merker/the-north-face/men-s-diablo-down-2-0-hooded-jacket-171907-FS628956,the-north-face,The North Face Men&#x27;s Diablo Down Hoodie Dusk Blue Black Heather/TNF Black | Fjellsport.no,S;M;L;XL,8992-eio,ok
https://www.fjellsport.no/merker/the-north-face/men-s-diablo-down-2-0-hooded-jacket-171907-FS628957,the-north-face,The North Face Men&#x27;s Diablo Down Hoodie Mushroom Ember Black Heather/TNF Black | Fjellsport.no,S;M;L;XL,8992-ejb,ok
https://www.fjellsport.no/merker/the-north-face/the-north-face-mens-diablo-down-2-0-hooded-jacket-estate-blue-black-heather-tnf-black-recycled-down-698403,the-north-face,The North Face Men&#x27;s Diablo Down Hoodie Estate Blue Black Heather/TNF Black/Recycled Down | Fjellsport.no,S;M;L;XL,8992-gki,ok
https://www.fjellsport.no/merker/the-north-face/men-s-diablo-down-2-0-jacket-171908-FS628962,the-north-face,The North Face Men&#x27;s Diablo Down 2.0 Jacket TNF Black Heather/TNF Black/Recycled Down | Fjellsport.no,S;M;L;XL,8993-goc,ok
https://www.fjellsport.no/merker/the-north-face/the-north-face-w-drew-peak-pullover-hoodie-tnf-black-525244,the-north-face,The North Face Women&#x27;s Drew Peak Hoodie TNF Black | Fjellsport.no,S;M;L,89eh-jk3,ok
https://www.fjellsport.no/merker/the-north-face/the-north-face-m-drew-peak-pullover-hoodie-tnf-black-FS525260,the-north-face,The North Face Men&#x27;s Drew Peak Hoodie TNF Black | Fjellsport.no,S;M;L;XL,89EM_JK3_HERO,ok
https://www.fjellsport.no/merker/the-north-face/the-north-face-m-drew-peak-pullover-hoodie-mushroom-grey-gravel-628992,the-north-face,The North Face Men&#x27;s Drew Peak Hoodie Mushroom Grey/gravel | Fjellsport.no,M;L;XL,89em-ehx,ok
